X,text,artist,song,year,album,Release.Date,US.Pop,US.R.B,CA,UK,IR,NL,DE,AT,FR,JP,AU,NZ,peak
688,"Prince
The Rainbow Children
1+1+1 Is 3
If u ain't got no place 2 stay/Come on baby 'round this way 
Stay with me baby/But let me tell u how it's gonna b 
There's a theocratic order./There's a theocratic order now 
This is how it's gonna b/If u wanna b with me 
Ain't no room 4 disagree/1+1+1 is 3 
Take ur tie and think it thru/If this is what u wanna do 
I ain't really that hard 2 please/Cuz 1+1+1 is 3 
Stroke ur hair a hundred times/Let me c what I can find 
D u know about the order./Do u know about the order, now? 
The Banished Ones: 
""We are the Banished Ones and we have come 2 dance 
If u will not let us, we'll have 2 kick ur pants!"" 
Who's that knockin' on the door?/Didn't we throw u out b4? 
I'm 'bout 2 get rowdy!/I'm 'bout 2 get rowdy, now! 
Make me wanna do something. 
We could b surrounded in the palace 
""Everybody wants 2 get u!""/I don't care 
How many y'all just came 2 dance? 
Let me c u shake ur pants/We don't give a duck what u got on 
U just need 2 work that sexy body all nite long/Come on 
Where them Banished Ones at?/""Said they 'round the back"" 
Don't cut 'em no slack/""I'm gon' tap, tap, tap"" 
But should I keep this party going?/""Brotha u know that!"" 
Moneyapolis, sing-Rainbow Children, raise ur hands 
If we can't do it, nobody can! 
Here they come y'all/Rally 'round the palace now 
U know what we got 2 do! 
How'd that fool get up in here? 
Snagglevoice.",prince,111 is 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,"Called you yesterday
You didn't answer your phone
The main drag is knowing that
You probably weren't alone
So here I sit in my lonely room
Lookin' for my sunshine
But all I've got is two cigarettes
And this broken heart of mine
So let the rain come down
The rain come down
Let the rain come down, down
Let the rain come down
The rain come down
Let the rain come down, down
You've been gone 17 days
17 long nights
The main drag is knowing that
You're holding someone else tight
I wanna to call you everyday
And beg you to be near me
But I know your head is underwater
I doubt that you could hear me
So let the rain come down
The rain come down
Let the rain come down, down
Let the rain come down
The rain come down
Let the rain come down, down
Ha, ha ha ha ha ha ha ha ha ha
17 days
Ha, ha ha ha ha ha ha ha ha ha
17 days
Called you yesterday
You didn't answer your phone
If you're the one who's always lonely
Then I'm the one who's always alone
So here I sit in my lonely room
Lookin' for my sunshine
All I've got is two cigarettes
And this broken heart of mine
Let the rain come down
The rain come down
Let the rain come down, down
Let the rain come down
The rain come down
Let the rain come down, down
Let the rain come down
The rain come down
Let the rain come down, down
  (Why don't you answer your phone?)
Let the rain come down
The rain come down
Let the rain come down, down
17 days
Let the rain come down
The rain come down
Let the rain come down, down
17 days",prince,17 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,"Prince
Miscellaneous
1-800-New Funk Ad
Welcome 2 the dawn
2 experience Love4oneanother on the internet
Access www.love4oneanother.com
Open your mind
There is not much time
2 experience NPG merchandise and music
Access www.1800newfunk.com
And by phone just dial 1-800-New-Funk
If you live outside the United States
Please dial 612 474 17 51
Call now
Before I start laughing
Ha-ha-ha-ha-ha...",prince,1800new funk ad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
665,"Serve it up, Frankie
This is precisely what I intend to do, honey
Honey, do you know, I let Robert cut my hair this morning?
(Honey, look at this one here)
(I'm lookin' Joe, tryin' to see)
Oh girl, where'd you get those shoes?
You know he had me lookin' so bad
(Honey, she's so free)
I'm so tired
These are, 'Come-and- -me' pumps
(Who, Robert?)
Maurice thinks
(Mmm, I think that's right, honey)
Go on up to her, say something
Maurice, what, what can I serve you?
(You mean he's male?)
Baby, I swear to God if you don't kiss 'em
I'm gonna kick your super natural ass
Frankie, play something,  
(Squirrel meat)
Uh, don't try it
Cat, what's happenin', babe?
( , would you play something?)
Get outta my face
(Honey, it's not that type of party)
(Talk to me, talk to me, do you remember me?)
What cha mean?
(Honey, he could teach you the answer to life)
Honey, you see these pumps?
( )
(Answer? Honey, you ain't gonna quit)
I wanna, I wanna
(Who you callin'  ? Ho  )
I want you to meet some friends of mine
( )
(Frankie, play somethin',  )
(Who you callin' ho  ? Black ho  )
No, no, you'll like them
They're, they're musicians
2 nigs united 4 West Compton
2 nigs united 4 West Compton",prince,2 nigs united 4 west compton,1994,Black Album,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,"2 whomever it may concern
You must come to your senses
There are no kings on this earth
Only princes
My name is Prince and I am funky
The New Power Generation has just taken control
You sexy  
Introducing Mayte, hello darling
Tony M, Kirky J and Damon D
I wanna be loved to the nine's, to the nine's
Sonny T, tell us where the party be
The Max, yes
The Max, yes
Tommy Barbarella likes it in the dark
But we like a Blue Light
Tommy Barabarella likes it in the dark
But we like a Blue Light
And she don't stop
I got seven hours baby, so what you wanna do?
Ooh, and she don't stop
Levi, Michael B and me, we get funky
Continental
  the DJ
  you
What's the name of this game?
Pimp rag, tootsie pop and a cane
Ow!
And she don't stop
God created woman
Temptation, sweet and so much
I surely die if my baby won't, he touch
Neither one of us shall he touch
Don't touch that radio
Don't touch that radio
Don't touch that
All seven and we'll watch then learn
And if you try to stop us, we will burn
We will, we will burn
If you try to stop us, we will burn
We will, we will burn
What is sacrifice?
What is sacrifice?
Hold the text, Deacon
Hold the text, Deacon
Can't nobody stop, if they step, they drop
The funky new album entitled O(+>
From Prince and The New Power Generation
On Paisley Park, Warner Brothers CD's and cassettes
We out",prince,2 whom it may concern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,"Every man that meets her wants 2 give her his name
She's 2 hot 4 words & 2 wise 2 tame
She's got knee-high boots & e-o-lectric hair
Born 2 b a rock star eye swear
She's got 9 lives & a couple more 2 spare
Old enough 2 do ya
But 2 young 2 dare
She got a kick drum brain full o' technology
But just enuff old school 2 know where the party b
Talks about the top as if she's always been there
A member of the ""chosen few rarified heirs""
Her legs so long she never climbs stairs
She's old enuff 2 do ya
But 2 young 2 dare
2 young 2 young 2 dare 
(yeah)
2 young 2 young 2 dare 
2 fine 4 idol
2 smart 4 the x-factor
internet beauty
everybody wanna hack her.
The world can only wonder right up until
They hear the juicy gossip that's in her will
Till then we can just pretend that she's
Old enuff 2 do ya 
But she's just 2 young 2 dare
2 young 2 dare",prince,2 y 2 d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Prince
Batman
200 Balloons
200 Balloons	[Controversy Music, ASCAP - 1989] [US flipside to Batdance]
------------
Who gonna stop 200 balloons?
Nobody
Let's do it
25 policemen all in a row
Can't stop the party people - Go go go
If U can't beat 'em join 'em baby say so
It's party time everybody come on lets go
Fly with me
200 balloons			(Let's do it)
Blowing down the city colder than ice
I think U better love me 'cuz I'm really kind of nice
If U do me once girl U have 2 do me twice
Wave your hand if U wanna party tonight
Come on everybody
200 balloons
Everybody sing it
Fly with me			(Let's do it)
Come on baby fly with me	(Let's do it)
Fly with me			(Let's do it)
Come on baby fly with me
I'll buy U love if I got
200 balloons			(Let's do it)
Tell me that U love me and I'll buy U a fancy car
I made U a couple of times and so U made me a star
So take me 4 what I'm worth, love me 4 what I are
(Do, do) The Partyman, I take U way far
Come on y'all
200 balloons
Who's gonna stop 200 balloons?
Nobody
Let's do it	Let's do it
Let's do it	Let's do it
It's party time y'all
200 balloons
(Do it) Don't stop me now
(Do it {Poet}) My life has just begun
(Do it) Rave, unto the joy y'all	(Do it)
The only one don't try to stop me	(Do it)
Fly with me			(Do it)
	(Do it 200 Do it 200 Do it)
Fly with me
Come on fly with me
It's party time y'all
200 balloons
(Let's do it)
200 balloons
(Let's do it)			(Fly with me)
200 balloons
Let's do it	Let's do it
Hey, its been good!
Fly	Fly
Fly with me			(200 balloons)
Come on baby fly with me	(Let's do it)
Fly with me
200 balloons
(Let's do it)
Who gonna stop 200 balloons?
Nobody
Let's do it
[(?) (?)]
Get (Do it, Do it) Get your house in order
(Do it, Do it) Get your (?), Get your (?)	(200 balloons)
Get your house in, Get your house in
Get your hou', Get your, Get Get Get Get	(Fly)
(Oh yeah) Your house in order
Fly with me			(200)
Let's do it
Get your house in order
200 balloons 
Get your, Get your 		(Let's do it)
Turn your heads to the east
I'll be coming from the west
Ain't no stoppin' me baby
'Cause I'm the best		(200)
Cry Cry Cry
I love it when U moan
This funk will cut so deep
Gonna touch your soul, oh	(200 balloons)
(Do it, Do it, Do it, Do it)
My funk is multilayered		(I just)
Don't stop me now		(I just)
I got a fever pumpin'
Don't stop me now
I'll make love to U		(I just)
[Ain't day...sea to sea]	(I just)
I got a warehouse full of protection, 2 times
Good lord (200 balloons) I wanna be your (Rave) busy bee
I'll be your busy bee
Come on queen...
(Rave, 200, 200, Rave, 200 balloons) (Let's do, let's, let's do it)
(Rave, Fly with me)
(Fly with me {200} {Rave} {200} Fly with me}) (200 {Let's do it} balloons)
Rave, unto the joy fantastic, Rave
(Let's do it)
[...]
Who gonna stop 200 balloons?
Nobody",prince,200 balloons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726,"How can a non-musician discuss the future of music
From anything other than a consumer point of view?
These people make decisions for the bulk of us
Without consulting any of us
Sales and distributions of our futures
If this world were fair and right
They'd give up the car keys this very night
 , hit it
2, 3, 4, 5, 6, 7
Flash forward, 2045
What did you stand for in the life of your prime
When faced with the final judgment of today
Who profited from the game
That you and your  as play
Radical man, save a life
Come on, take a stand, give that money back
Let's make a plan, the brand new currency
Taking care of one another you and me
Radical, radical
Flash backward, 1999
In a world shockful of viruses
How'd y'all stay alive?
Depending on this so-called man
For everything you got comes from his hand
Food, water, the clothes you wear
How many of y'all  as really care?
We don't care
Let's define this word,  a
Someone who stays high
Watching their life go by
Someone content with riding it behind,  a
They come in all colors, white, black, Puerto Rican
But the main  as we speakin' 'bout
Wear suits and buy and sell corporations
With only one thing in mind
Break it up
That is the destruction of the
So-called radical man by 2045
Let's get radical
Let's get radical
Watch me now
Schooled in the art of digital games
When the war broke out they called your name
Everyone of color put on the front line
Holocaust Avenue, 2009
Get an education, good job, who says?
Fool with the gold fronts drinkin' Alize
They don't play by the rules makin' no sense today
Gotcha on line so you think it's okay
Better built cell block, mos def say
That's where you gonna stay,  a
Where you gonna stay,  a?
Oh my God, it's the Green Mile
Radical, radical man
Radical, radical man
Radical, radical man
Radical man
What's up, y'all? What y'all wanna do?
Ain't nobody up in that crew know
How to really run that computer
And make it flow
If you ain't born with it
You know, talkin' about the to and fro, hit me
Come on, you know way down
What George say, fall around, alright
We claim Miles Davis, not Michaelangelo
We playin' D-flat in the funk
You better act like you know
We don't care what Albert Einstein did
I'd rather know, rather know
How they built the pyramid, hey
James Brown, Chuck D. and Jimi
Turn me up louder now
And I don't think y'all hear me
2045, we will stay alive
2045, God is on our side
The whole pop scenario is just nothin'
But a dream
The day you wake up is the day
You get the real  ,  a
Radical man
Who got the plan, who got the plan?
Radical man
Who got the plan, who got the plan?
This is the funk the industry most fears
All of us getting together
In a locked board of directors
I don't think so
Ain't nobody runnin' this
It's all about DNA, the radical man
Where will you be in 2045?
30 million people right now
Are being wiped off the face of the planet
By a disease they claim has no cure
In the matter of a blinking eye
All of us right now can testify
Take a stand, radical man, oh",prince,2045 radical man,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,"Prince
Miscellaneous
20th Century Express
S s cry out in the dead of night 
From the crack house across the street 
U're comin' down with a sudden migraine 
And here it is almost 3 
Next door they're fightin' again 
Somebody's done somebody wrong 
And some freak keeps calling up 
Want a quickie on the telephone 
U try and try 2 close your eyes at night 
But all U do is toss and turn until broad daylight 
CHORUS: 
Welcome aboard the 20th Century Express 
Welcome aboard the 20th Century Express 
Fast food chains keep popping up 
Everybody's eatin' on the run 
Hamburgers, French fries, hurry please 
But hold the indigestion 
The rush hour traffic slows U down 
As U race against the clock 
But fasten your seatbelts everyone 
There are no intermediate stops 
U try and try 2 keep pace with the times 
U try and get one step ahead, but U fall 2 steps behind 
CHORUS 
Ooh yeah, all day, on rey, all say, I say, he say, OK, OK {x4} 
U try and try 2 close your eyes at night 
But all U do is toss and turn until broad daylight 
CHORUS {x2} 
Running 2 the crack house 
People gettin' sprung out 
Welcome aboard 
(Welcome, welcome aboard the 20th Century Express) 
Livin' in the fast lane 
2 much cocaine 
Welcome aboard 
(Welcome, welcome aboard the 20th Century Express) 
The world keep revolvin' 
And ain't nobody stoppin' 
Welcome, oh yes 
(Welcome, welcome aboard the 20th Century Express) 
Welcome, welcome 
Welcome aboard the 20th Century Express 
We're livin' 2 fast, y'all 
Babies makin' babies, hear? 
Oh, welcome the 20th Century Express",prince,20th century express,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,"Yeah, 2gether
Your boy got popped in a drive-by yesterday
He'll be lucky if he makes it through the night is what the doctors say
You can take revenge or you can be the one to break the chain
You look up in the sky for an answer and it starts to rain
What are we if we're not 2gether?
How do we make a life that's better?
(Yeah)
'Cuz when we be killin' one another
(Take each other out)
How do we
(Huh, how)
Call each other brother?
(Mmm, check it)
You tell me
What's the chance of a brother gettin' off the block?
What's the chance, not a  
If all he wanna do is sell chicken wings and the rock
(Chicken wing and the rock)
You can blame the system
You can be the one to even the score, huh
Yeah, huh, you look up in the sky for an answer
And it starts to pour, drop it, huh
What are we if we're not 2gether?
How do we make a life that's better?
(Yeah)
'Cuz when we be killin' one another
(Take each other out)
How do we
(Huh, how)
Call each other brother?
You tell me
(Tell 'em)
Why is slangin' them thangs, coppin' a stroll, flashin' a sign
Key topics on a young black mind?
'Cuz it's the picture that we give 'em and they illustrate
Black on black genocide has started to escalate
Every brother ain't a brother 'cuz o' color, this is true
But I can still say to my brother, ""Much love boo""
Please Lord, give me the strength and make it quick
'Cuz my people won't take another nightstick, huh
What are we if we're not 2gether?
How do we make a life that's better?
(And how do we, yeah)
'Cuz when we be killin' one another
(Take each other out)
How do we call each other brother?
(I don't know)
You tell me
Yo, it's simple
From the old to the young
To uplift we must give the gift
Gift of knowledge that is teach our young
That all in life ain't fun
And to make a life that's better
My people must stick 2gether
The choice is yours
What are we if we're not 2gether?
How do we make a life that's better?
(2gether)
'Cuz when we be killin' one another
How do we call each other brother?
You tell me
2gether, 2gether",prince,2gether,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,"Well, well, well
Maybe, I'll wantcha 2morrow
(The most beautiful girl in the world)
On the deep blue sea
Perhaps you noticed that I never look you in the eye
I'm just afraid that I might die of my love for you
I wanna kiss you but baby, I dare not try
Or my dreams most surely will come true
So that's why please don't hold my hand 'cuz I will
  sure understand and kill
The other boys in the band
Who want you 2morrow, 2morrow
They can't tap it, not 2morrow
(The most beautiful girl in the world)
You're mine 2morrow
On a deep blue sea, I wanna be swept away
With you, I could pass the time
Of every night and every day
(All time)
Never remembering the songs to sing
Let alone what notes to play
I'm gonna die of my love for you, baby
Stay with me tonight, my dear
But please don't hold me tight 'cuz I fear
My heart just might feel joy
Instead of sorrow 2morrow
I don't wanna be happy, not 2morrow
(Not 2morrow)
(The most beautiful girl in the world)
I'd rather cry 2morrow
2morrow is the day I say after today
That you and I can play like we wanna
With undergarments thrown, the seed can be sown
Slippery in the sauna
(Oh)
If I could just look you in the eye
But baby, I dare not try
'Cuz then my dreams will surely come true
(All time)
Please don't hold my hand 'cuz I will
  sure understand and kill
The other boys in the band
Who want you 2morrow, 2morrow
2morrow
(The most beautiful girl in the world)
(The most beautiful girl in the world)",prince,2morrow,1998,Crystal Ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"2nite
Happy people in the disco light
Dancin' sexy 'cause the music's right
Put your arm around me and hold me tight
There's no tomorrow, there's just 2nite, 2nite
Worked so hard all through the week
I just wanna get off your feet
Hit me back at a quarter to nine
We can jam and have a real good time 2nite
No guns or drugs up in the place
Old school jams put a smile on your face 2nite
No top forty, no one of that junk
I know this dope spot that just plays funk
You know this jam is sure to move the crowd
Everybody's dancin', no posin' allowed 2nite, 2nite
Note to self must avoid broke back busters unemployed
Brothers who call me shawty in the pickup line
And all those who only got one thing on their mind
Happy people in the disco light
Dancin' sexy 'cause the music's right
Put your arm around me and hold me tight
There's no tomorrow there's just 2nite, 2nite, 2nite
Belinda, Bianca, me and you
We can party like grownup folks do
Come correct and I'll give you a chance
Don't ask me for my number just ask me to dance, 2nite, 2nite
2nite, 2nite
Shake your flip side and feel the beat
Wake up the next day in the Palazzo suites
Lay out 'til noon in the desert sun
Don't get mad 'cause we havin' fun
If we gonna party let's party right
No yesterday just remember 2nite, 2nite",prince,2nite,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"If I don't think about the fact that she left me
If I don't see the pearls fall from the sky
If I don't hear the accusations of blasphemy
If I don't feel the tears in my eyes
This is the best day of my life
You say you'll call me and then you don't
I want to kiss you and then I won't
We both do nothing and call it love
Is this love?, Is this love?
This morning I wanted a cup of coffee
But I didn't have any  
Last night I wanted some inspiration
But I didn't have any dreams
Coupled with the fact that you belong to another
Whose name is self-righteousness
So evil girl, if one of us has a date
With the undertaker, which one will it be?
You can cry forever, but you'll get no sympathy
This is the best day of my life
I've got 3 chains o' gold
And they will shine forever
They are the nucleus of my soul
Melt down, no, they will never
I've got 3 chains o' gold
And they will shine  forever
They are the nucleus of my soul
Melt down, no, they will never
Give back the chains if you don't you will die
Nothing should come between you and I
3 chains o' gold
They will shine  forever
If one of us has to go
You will go before me
If one of us has to go
You will go before me
You will go before me, baby
'Cause I show 'enough say you will
3 chains o' gold
You will go before me
You will go before me
You will go before me
You will go before me
3 chains o' gold
They gonna shine
Forever, forever, forever
3 chains o' gold",prince,3 chains o gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,"Using a special code, he accessed his mind
In search of the reason why
In passion and fashion he began travelin' time
3rd eye, 3rd eye, 3rd eye
The serpent approves
Then appears between Adam's thighs
And he tries to release upon Eve, the nectar
The injector tries, he tries, he tries, he tries
So, abduction complete, all stand on their feet
Look at one another and cry
What have we done? Could this be the fun
On the dotted line for which I did sign? Oh, yeah
I resign from the notion 'cuz yours was the potion
That I'm supposed to die, for I resign
In self pity so dark, this  ty and stark
Realization is all that will soothe
Ultimately the only one that can save you is you
Your God is inside and for that God you will do
Whatever it takes, if nothing else is true
The only one that can save you is you, yeah",prince,3rd eye,1998,The Truth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
840,"Long ago there was a man
Change stone to bread with the touch of his hand
Made the blind see and the dumb understand
He died for the tears in your eyes, your eyes
Many people came from all around
To hear this man preach, glorious sound
He spoke of man in harmony and love abound
He died for the tears in your eyes, your eyes
Your eyes, your eyes
He died for the tears in your eyes
For the tears in your eyes and the tears of sorrow
Four cents may be all that they're worth
For the rising sun each day assures us
The meek shall inherit the earth, the earth
Faith is a word, we all should try
Describing the man who willingly died
Believe that your hunger, sorrow and fears
Is less than the tears in your eyes, your eyes
Less than the tears in your eyes
For the tears in your eyes and the tears of sorrow
Four cents may be all that they're worth
For the rising sun each day assures us
The meek shall inherit the earth
Say it again
For the tears in your eyes and the tears of sorrow
Four cents may be all that they're worth
For the rising sun each day assures us
The meek shall inherit the earth, the earth",prince,4 the tears in your eyes live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,"If I never get to hold your hand
If I never get to be your man
That's okay, 'cause I've got other plans
Right now, right now
If I never get to kiss your lips
If I never get to feel your hips close to me
That's okay, I ain't gonna trip
Not now, no how
'Cause I've got 4ever, 4ever
Eternity is just one kiss away
So they say
The opera just got all the fair
Cyprus, if I never get to take you swimming there
If you never know how much I care
I swear, it's not fair, no
If I never get to make you laugh
If we never get to take a bubble bath
See I don't wanna part with you, not tonight
Gonna be apart of my plans
I just want, I just want
Listen, I just want 4ever
Oh, I just want 4ever
Eternity is just one kiss away
What you say?
4ever
So many things we can do in the new world
I can be your future lover
You can be my future girl
If I never get to see your smile
Underneath a white veil walking up the isle
I just might go crazy, I might go wild
So let me tell you baby
Stop lookin' at me like that
Unless you're wanting me to bite that
4ever, 4ever
Eternity is just one kiss away
What you say?
4ever, 4ever
I don't want to kiss your lips
Till I get to, uh, your hips",prince,4ever,2009,LotusFlow3r,22 Nov. 2016,35,4,4,24,22,10,87,64,46,22,36,-,4
290,"It took 5 women to getcha off of my mind
It took 5 months, a plenty good wasted time
But it just took 5 minutes when I saw your face again
To fall in love all over, I guess with you I'll never win
March was a cold one in more ways than one
Went down to the nightclub lookin' for the sun
Lookin' for a light that could brighten up a day
That's been darker than a hole since you went away
April usually brings showers, this time it was a hurtin' kind
This woman said she wanted my baby
I told her I'd have to be deaf, dumb and blind
To fall in love with someone that I barely knew
Baby would never really have a father
'Cuz I still, 'cuz I still, 'cuz I still, still, still
Be stuck on you, ooh
It took 5 women to getcha off of my mind
Get off my mind, baby
Fallin' in love all over you, I'll never win
May was her name, she was jumpin'
Jumpin' from plane to plane
Actress or model or somethin'
I can't even remember her first name
June brought an Easter bunny
Needless to say that girl was late
Told a made-up story to a busy-body of our only date
What a sketch
July was a heartbreak, extraordinary
Said I met this woman whose kiss was somethin' scary
It felt so much, so much like yours
But it only made me, made me want you more
She's gone, she's gone but you're still here
I want you very, it's you I fear
Said it took 5 women, yes it did, to get you off my mind
It took 5 months, 5 months, a plenty good wasted time
But it just took 5 minutes and I saw your face again
I fell in love all over with you, I guess I'll never win, I'll never win",prince,5 women,1999,The Vaule … Old Friends 4 Sale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,"Prince
Miscellaneous
9 Lives
9 - 9 - 9 - 9 - 9 lives 
This is the 90's and I need a lover with (9 lives) 
With my bad self 
(If I really) {sample repeats in song} 
I.. I.. I.. I... 
(9 lives) 
Sing Stella 
CHORUS: 
If I really had 9 lives 
I'd want a lover that controlled my mind 
Someone who knows about the heavenly sin 
How 2 kill with love again, again and again 
When she calls me on the phone 
She'll ask if I'm alone 
Standin' at my door lookin' mega-fine 
Heck-a-pump body sayin' good time 
When all the others talk plenty of jive 
My lover talks about 9 lives 
The first 2 promise I'll die from the heat 
Generated from the moment that our eyes meet 
CHORUS 
(With my bad self) 
Life number 3 and number 4 
Are spent makin' love on the magic floor 
It's got no walls so all can see 
The way real love is supposed 2 be 
Don't be ashamed, my lover said 
Then she says ""Mmm, I betcha I'm mega-jammin'"" 
Life number 5, 6 and 7 
Need U ask, go like heaven 
CHORUS 
(With my bad self) 
(Control me) 
With my bad self 
If I really had 9 lives 
I'd want a lover that controlled my mind 
2 kill with love, we'd never die 
We'd never long 4, we'd never cry 
If we live 4 havin' each other's touch 
It's never 2 little, it's never 2 much 
Play 
With my bad self 
With my, with my bad self 
If I really had, if I really had, if I really had 9 lives 
This is the 90's 
And everybody wants a lover 
A life-long lover with 9 lives 
(9 lives) 
This is the 90's 
(CHORUS) {repeat in BG} 
Sing Stella 
Call me up on the phone 
I'll be here all alone 
I'll be waitin' on U, baby 
I'll be waitin' on U and your 9 lives! 
Silence",prince,9 lives,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
630,"I am a lonely painter, I live in a box of paints
I used to be frightened by the devil
And drawn to those who weren't afraid
Remember when you told me
That love was touching souls?
Well, surely you touched mine
Part of you pours out of me
From time to time in these lines
You're in my blood like holy wine
You're so bitter and so sweet
I could drink a case of you darling",prince,a case of u,2002,One Nite Alone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,"Prince
Miscellaneous
A Love Bizarre
A B, A B C D 
The moon up above, it shines down upon our skin 
Whispering words that s  of outrageous sin 
We all want the stuff that's found in our wildest dreams 
It gets kinda rough in the back of our limousine 
CHORUS: 
That's what we are, we all want a love bizarre 
That's what we are, we all want a love bizarre 
A strawberry mind, a body that's built 4 2 
A kiss on the spine, we do things we never do 
Come swallow the pride and joy of the ivory tower 
We'll dance on the roof, make love on a bed of flowers 
CHORUS 
The moon up above, it shines down upon our skin 
(It shines down... on... our... skin) 
Whispering words that s  of outrageous sin 
(Whispering words that s  of... s  of sin) 
We all want the stuff that's found in our wildest dreams 
(We all want the stuff that's found in our wildest... wildest dreams, yeah) 
It gets kinda rough in the back of our limousine 
CHORUS 
That's what we are, we all want a love bizarre 
(A strawberry mind, a body that's built 4 2, me and U) 
That's what we are, we all want a love bizarre 
(A kiss on the spine, we do things we never do) 
(Yeah) 
CHORUS {x4} 
What we are, what we are, a love bizarre {x2} 
What we are (What we are), what we are (what we are) 
A love bizarre (A love bizarre) 
CHORUS {repeated ‘til end} 
Yeah, yeah, yeah! 
Ah yeah! {x3}",prince,a love bizarre,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
